Experiment,Largest Size,Smallest Size,Percentage,Recursive Result,Iterative Result,Recursive Time (ms),Iterative Time (ms)
1,50,46,4.2,2,2,0,0
2,126,33,0.4,93,335,0.001,0.002
3,126,6,0.8,119,380,0.001,0.003
4,107,21,0.8,86,203,0.001,0.001
5,55,45,0.2,10,101,0,0
6,145,39,3.7,30,35,0,0
7,149,5,0.6,144,565,0.002,0.004
8,144,28,1.8,66,91,0.003,0
9,54,38,0.9,16,39,0,0
10,112,6,0.9,105,324,0.002,0.003
11,53,6,2,45,108,0,0.001
12,72,27,0.6,45,163,0,0.001
13,138,36,4.6,25,29,0,0
14,53,24,1,29,79,0,0
15,131,35,2.6,39,51,0,0
16,112,36,0.7,76,162,0.001,0.001
17,133,28,4.8,27,32,0,0
18,81,4,4.3,41,69,0,0
19,126,18,2.6,54,74,0.001,0
20,102,37,1.1,59,92,0.001,0
21,125,22,2.3,55,75,0.001,0
22,142,18,0.8,115,258,0.001,0.002
23,146,3,3.8,58,101,0.001,0
24,118,23,3,42,54,0,0
25,71,24,3.4,23,32,0,0
